B-V;Lum;GrpName
0.014;23.78;Orion Molecular Cloud, ASCC 19, Collinder 70, Sigma Orionis, NGC 1981, Running Man, Orion Nebula, NGC 1980
-0.058;68.88;Orion Molecular Cloud, ASCC 19, Collinder 70, Sigma Orionis, Running Man, Orion Nebula
0.02;44.13;Orion Molecular Cloud, Collinder 70
0.151;7.3;Tucana / Horologium
-0.184;112138.15;Orion Molecular Cloud, ASCC 19, Collinder 70, Sigma Orionis
0.01;49.96;Orion Molecular Cloud, ASCC 19, Collinder 70, Sigma Orionis
-0.18;914.04;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
-0.092;126.27;Orion Molecular Cloud, ASCC 19, Collinder 70
0.242;13.71;Orion Molecular Cloud, Collinder 70
-0.056;149.45;Orion Molecular Cloud, Collinder 70
0.944;112.09;Collinder 69
-0.212;3359.84;Orion Molecular Cloud, Collinder 70, NGC 1981, Running Man, Orion Nebula, NGC 1980
1.171;0.1;AB Doradus
0.845;0.44;AB Doradus
0.237;12.25;Hyades
0.051;12.84;Tucana / Horologium
0.276;29.2;NGC 1980
-0.102;182.47;Orion Molecular Cloud, ASCC 19, Collinder 70, Sigma Orionis
-0.17;1209.42;Orion Molecular Cloud, Collinder 69
-0.21;2084.23;Orion Molecular Cloud, Collinder 70, NGC 1981, Running Man, Orion Nebula, NGC 1980
-0.079;86.72;Orion Molecular Cloud, Collinder 70
0.206;9.58;Orion Molecular Cloud, Collinder 70
-0.095;322.29;Orion Molecular Cloud, ASCC 19, Collinder 70, Sigma Orionis
-0.161;500.18;Orion Molecular Cloud, Collinder 70, NGC 1981, Running Man, Orion Nebula, NGC 1980
0.404;3.55;Tucana / Horologium
-0.125;196.21;Orion Molecular Cloud, ASCC 19, Collinder 70
0.332;19.48;Orion Molecular Cloud, Collinder 70
0.474;8.33;Orion Molecular Cloud, Collinder 70
-0.081;201.85;Orion Molecular Cloud, Collinder 70
-0.029;563.25;Orion Molecular Cloud, Collinder 70, NGC 1981, Orion Nebula, NGC 1980
-0.13;130.81;Orion Molecular Cloud, Collinder 70
-0.152;630.61;Orion Molecular Cloud, ASCC 19, Collinder 70, Sigma Orionis
-0.024;52.33;Orion Molecular Cloud, Collinder 70, Sigma Orionis
0.035;56.57;Orion Molecular Cloud, Collinder 70
-0.216;2509.45;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
-0.19;8288.02;Orion Molecular Cloud, Collinder 70, Sigma Orionis
0.009;25.03;Orion Molecular Cloud, Collinder 70
-0.08;96.36;Orion Molecular Cloud, ASCC 19, Collinder 70, Sigma Orionis
-0.12;213.95;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
